customer_id,tenure,monthly_charges,contract_type,support_tickets,usage_score,churn
C0001,7,96.3,annual,0,57.34,1
C0002,56,109.78,annual,4,30.92,1
C0003,48,112.9,monthly,6,52.89,0
C0004,32,75.33,monthly,1,55.33,1
C0005,32,76.82,annual,2,28.73,1
C0006,62,101.99,monthly,2,93.33,0
C0007,7,58.3,annual,4,67.93,0
C0008,51,105.36,monthly,7,51.08,1
C0009,15,74.47,monthly,4,60.55,1
C0010,7,40.43,annual,3,45.14,0
C0011,38,36.49,monthly,2,88.35,0
C0012,71,105.78,monthly,3,66.0,0
C0013,53,35.0,monthly,4,59.59,0
C0014,55,55.26,annual,1,92.87,0
C0015,52,60.07,annual,2,87.04,0
C0016,57,45.57,monthly,5,85.02,0
C0017,37,58.25,monthly,0,38.05,1
C0018,10,96.84,annual,3,32.25,1
C0019,61,31.32,monthly,7,75.21,0
C0020,33,104.45,monthly,1,57.49,1
C0021,37,107.09,monthly,2,74.7,1
C0022,27,63.5,monthly,0,80.85,1
C0023,14,43.83,annual,2,43.63,1
C0024,67,84.08,annual,5,42.77,1
C0025,57,40.77,annual,2,59.27,0
C0026,47,62.84,monthly,5,41.88,1
C0027,29,116.26,monthly,1,73.38,1
C0028,60,119.59,monthly,2,79.74,1
C0029,40,99.49,monthly,6,57.76,1
C0030,32,57.99,monthly,7,77.9,1
C0031,33,91.89,monthly,4,60.84,1
C0032,17,93.49,monthly,2,77.03,1
C0033,7,64.91,monthly,5,38.0,1
C0034,40,87.68,annual,2,79.11,1
C0035,64,30.97,monthly,7,77.21,0
C0036,5,48.82,monthly,8,41.33,1
C0037,62,77.26,annual,2,64.48,0
C0038,60,44.74,annual,3,88.42,0
C0039,20,44.93,annual,3,39.96,0
C0040,46,105.27,monthly,4,78.88,1
C0041,12,119.02,annual,5,96.32,0
C0042,55,80.04,monthly,3,89.3,1
C0043,51,105.52,monthly,3,52.12,1
C0044,26,119.13,monthly,4,68.58,1
C0045,5,42.74,monthly,5,99.34,1
C0046,70,70.34,monthly,4,65.47,1
C0047,33,65.33,monthly,5,29.2,0
C0048,65,37.2,annual,3,23.63,0
C0049,49,97.98,monthly,2,83.23,1
C0050,57,69.04,monthly,2,53.89,1
C0051,55,72.24,monthly,4,39.75,1
C0052,15,43.56,monthly,3,47.81,1
